     support confidence     lift leverage   jaccard
369    0.165  0.9166667 2.582160 0.101100 0.4459459
370    0.150  0.8571429 2.016807 0.075625 0.3333333
371    0.150  0.9677419 2.726034 0.094975 0.4166667
372    0.155  0.8611111 2.026144 0.078500 0.3444444
373    0.060  1.0000000 2.531646 0.036300 0.1518987
374    0.145  0.9354839 2.562970 0.088425 0.3866667
375    0.160  0.8888889 2.091503 0.083500 0.3595506
376    0.220  0.9166667 2.320675 0.125200 0.5301205
377    0.220  0.8979592 2.460162 0.130575 0.5641026
378    0.210  0.8750000 2.160494 0.112800 0.4827586
379    0.175  0.9459459 2.522523 0.105625 0.4545455
380    0.310  0.9117647 2.251271 0.172300 0.7126437
381    0.310  0.9841270 2.491461 0.185575 0.7750000
382    0.310  0.8611111 2.359209 0.178600 0.7469880
383    0.115  0.9583333 2.426160 0.067600 0.2875000
384    0.175  0.9459459 2.394800 0.101925 0.4320988
385    0.175  0.8750000 2.397260 0.102000 0.4487179
386    0.165  0.9166667 2.320675 0.093900 0.4024390
387    0.160  0.8648649 2.135469 0.085075 0.3720930
388    0.155  0.8611111 2.126200 0.082100 0.3604651
389    0.115  0.9583333 1.916667 0.055000 0.2277228
390    0.230  0.9387755 2.317964 0.130775 0.5476190
391    0.230  0.8518519 2.156587 0.123350 0.5287356
392    0.185  0.9250000 2.466667 0.110000 0.4743590
393    0.195  0.8666667 2.139918 0.103875 0.4482759
394    0.195  0.9069767 2.418605 0.114375 0.4936709
395    0.125  0.8620690 2.128565 0.066275 0.2941176
396    0.125  1.0000000 2.531646 0.075625 0.3164557
397    0.185  0.9250000 2.283951 0.104000 0.4404762
398    0.185  0.8604651 2.178393 0.100075 0.4352941
399    0.175  0.8974359 2.215891 0.096025 0.4117647
400    0.175  0.9210526 2.331779 0.099950 0.4268293
401    0.135  0.9310345 1.862069 0.062500 0.2647059
402    0.115  0.9200000 1.840000 0.052500 0.2254902
403    0.050  1.0000000 5.882353 0.041500 0.2941176
404    0.050  1.0000000 6.060606 0.041750 0.3030303
405    0.050  0.9090909 6.993007 0.042850 0.3703704
406    0.050  1.0000000 5.714286 0.041250 0.2857143
407    0.050  1.0000000 6.060606 0.041750 0.3030303
408    0.050  0.9090909 6.993007 0.042850 0.3703704
409    0.050  1.0000000 3.846154 0.037000 0.1923077
410    0.050  1.0000000 6.060606 0.041750 0.3030303
411    0.050  0.9090909 6.993007 0.042850 0.3703704
412    0.050  1.0000000 5.714286 0.041250 0.2857143
413    0.050  1.0000000 5.882353 0.041500 0.2941176
414    0.050  0.9090909 6.993007 0.042850 0.3703704
415    0.050  1.0000000 3.846154 0.037000 0.1923077
416    0.050  1.0000000 5.882353 0.041500 0.2941176
417    0.050  0.9090909 6.993007 0.042850 0.3703704
418    0.050  1.0000000 3.846154 0.037000 0.1923077
419    0.050  1.0000000 5.714286 0.041250 0.2857143
420    0.050  0.9090909 6.993007 0.042850 0.3703704
421    0.055  1.0000000 5.714286 0.045375 0.3142857
422    0.055  1.0000000 5.882353 0.045650 0.3235294
423    0.055  1.0000000 6.060606 0.045925 0.3333333
424    0.055  1.0000000 3.846154 0.040700 0.2115385
425    0.055  1.0000000 5.882353 0.045650 0.3235294
426    0.055  1.0000000 6.060606 0.045925 0.3333333
427    0.050  0.9090909 1.818182 0.022500 0.0990099
428    0.050  1.0000000 5.882353 0.041500 0.2941176
429    0.050  1.0000000 6.060606 0.041750 0.3030303
430    0.055  1.0000000 3.846154 0.040700 0.2115385
431    0.055  1.0000000 5.714286 0.045375 0.3142857
432    0.055  1.0000000 6.060606 0.045925 0.3333333
433    0.050  0.9090909 1.818182 0.022500 0.0990099
434    0.050  1.0000000 5.714286 0.041250 0.2857143
435    0.050  1.0000000 6.060606 0.041750 0.3030303
436    0.050  0.9090909 1.818182 0.022500 0.0990099
437    0.050  1.0000000 3.846154 0.037000 0.1923077
438    0.050  0.9090909 5.509642 0.040925 0.2941176
439    0.055  1.0000000 3.846154 0.040700 0.2115385
440    0.055  1.0000000 5.714286 0.045375 0.3142857
441    0.055  1.0000000 5.882353 0.045650 0.3235294
442    0.050  0.9090909 1.818182 0.022500 0.0990099
443    0.050  1.0000000 5.714286 0.041250 0.2857143
444    0.050  1.0000000 5.882353 0.041500 0.2941176
445    0.050  0.9090909 1.818182 0.022500 0.0990099
446    0.050  1.0000000 3.846154 0.037000 0.1923077
447    0.050  0.9090909 5.347594 0.040650 0.2857143
448    0.050  0.9090909 1.818182 0.022500 0.0990099
449    0.050  1.0000000 3.846154 0.037000 0.1923077
450    0.050  0.9090909 5.194805 0.040375 0.2777778
451    0.100  1.0000000 8.000000 0.087500 0.8000000
452    0.100  1.0000000 8.695652 0.088500 0.8695652
453    0.100  1.0000000 8.695652 0.088500 0.8695652
454    0.100  0.9523810 8.658009 0.088450 0.8695652
455    0.100  1.0000000 7.142857 0.086000 0.7142857
456    0.100  1.0000000 8.695652 0.088500 0.8695652
457    0.100  1.0000000 8.695652 0.088500 0.8695652
458    0.100  0.9090909 8.264463 0.087900 0.8333333
459    0.100  1.0000000 3.846154 0.074000 0.3846154
