    support confidence     lift leverage   jaccard
212   0.090          1 4.000000 0.067500 0.3600000
213   0.065          1 4.081633 0.049075 0.2653061
214   0.050          1 4.081633 0.037750 0.2040816
215   0.065          1 4.081633 0.049075 0.2653061
216   0.080          1 4.081633 0.060400 0.3265306
217   0.050          1 4.081633 0.037750 0.2040816
218   0.050          1 2.000000 0.025000 0.1000000
219   0.050          1 4.081633 0.037750 0.2040816
220   0.065          1 4.000000 0.048750 0.2600000
221   0.065          1 4.000000 0.048750 0.2600000
222   0.060          1 4.000000 0.045000 0.2400000
223   0.070          1 2.000000 0.035000 0.1400000
224   0.135          1 4.000000 0.101250 0.5400000
225   0.080          1 3.921569 0.059600 0.3137255
226   0.080          1 4.000000 0.060000 0.3200000
227   0.085          1 4.000000 0.063750 0.3400000
228   0.070          1 3.921569 0.052150 0.2745098
229   0.070          1 4.000000 0.052500 0.2800000
230   0.080          1 4.000000 0.060000 0.3200000
231   0.080          1 2.000000 0.040000 0.1600000
232   0.060          1 4.000000 0.045000 0.2400000
233   0.060          1 3.921569 0.044700 0.2352941
234   0.065          1 2.000000 0.032500 0.1300000
235   0.055          1 4.000000 0.041250 0.2200000
236   0.075          1 2.000000 0.037500 0.1500000
237   0.060          1 2.000000 0.030000 0.1200000
238   0.075          1 4.000000 0.056250 0.3000000
239   0.080          1 2.000000 0.040000 0.1600000
240   0.080          1 2.000000 0.040000 0.1600000
241   0.080          1 4.000000 0.060000 0.3200000
242   0.060          1 4.000000 0.045000 0.2400000
243   0.065          1 4.000000 0.048750 0.2600000
244   0.080          1 2.000000 0.040000 0.1600000
245   0.080          1 4.000000 0.060000 0.3200000
246   0.055          1 4.000000 0.041250 0.2200000
247   0.065          1 2.000000 0.032500 0.1300000
248   0.070          1 2.000000 0.035000 0.1400000
249   0.070          1 4.000000 0.052500 0.2800000
250   0.115          1 3.921569 0.085675 0.4509804
251   0.075          1 4.000000 0.056250 0.3000000
252   0.110          1 3.921569 0.081950 0.4313725
253   0.050          1 3.921569 0.037250 0.1960784
254   0.055          1 3.921569 0.040975 0.2156863
255   0.060          1 2.000000 0.030000 0.1200000
256   0.065          1 2.000000 0.032500 0.1300000
257   0.055          1 2.000000 0.027500 0.1100000
258   0.205          1 3.921569 0.152725 0.8039216
259   0.165          1 3.921569 0.122925 0.6470588
260   0.165          1 4.000000 0.123750 0.6600000
261   0.115          1 4.000000 0.086250 0.4600000
262   0.165          1 3.921569 0.122925 0.6470588
263   0.190          1 3.921569 0.141550 0.7450980
264   0.095          1 3.921569 0.070775 0.3725490
265   0.120          1 3.921569 0.089400 0.4705882
266   0.120          1 4.000000 0.090000 0.4800000
267   0.165          1 3.773585 0.121275 0.6226415
268   0.080          1 4.000000 0.060000 0.3200000
269   0.095          1 3.773585 0.069825 0.3584906
270   0.095          1 3.921569 0.070775 0.3725490
271   0.095          1 4.000000 0.071250 0.3800000
272   0.180          1 3.921569 0.134100 0.7058824
273   0.180          1 4.000000 0.135000 0.7200000
274   0.130          1 4.000000 0.097500 0.5200000
275   0.180          1 3.921569 0.134100 0.7058824
276   0.100          1 3.921569 0.074500 0.3921569
277   0.095          1 3.921569 0.070775 0.3725490
278   0.095          1 4.000000 0.071250 0.3800000
279   0.105          1 3.773585 0.077175 0.3962264
280   0.095          1 3.921569 0.070775 0.3725490
281   0.095          1 4.000000 0.071250 0.3800000
282   0.090          1 4.000000 0.067500 0.3600000
283   0.100          1 3.773585 0.073500 0.3773585
284   0.095          1 3.921569 0.070775 0.3725490
285   0.095          1 4.000000 0.071250 0.3800000
286   0.100          1 3.773585 0.073500 0.3773585
287   0.080          1 4.000000 0.060000 0.3200000
288   0.050          1 3.921569 0.037250 0.1960784
289   0.165          1 3.921569 0.122925 0.6470588
290   0.190          1 3.921569 0.141550 0.7450980
291   0.095          1 3.921569 0.070775 0.3725490
292   0.115          1 3.921569 0.085675 0.4509804
293   0.165          1 3.773585 0.121275 0.6226415
294   0.080          1 3.921569 0.059600 0.3137255
295   0.095          1 3.773585 0.069825 0.3584906
296   0.095          1 3.921569 0.070775 0.3725490
