     support confidence      lift leverage    jaccard
369    0.120  1.0000000  2.739726 0.076200 0.32876712
370    0.120  0.6666667  2.777778 0.076800 0.40000000
371    0.110  0.9166667  2.320675 0.062600 0.27160494
372    0.120  1.0000000  2.469136 0.071400 0.29629630
373    0.085  0.7083333  1.416667 0.025000 0.15887850
374    0.085  0.7083333  1.888889 0.040000 0.20731707
375    0.200  1.0000000  2.469136 0.119000 0.49382716
376    0.200  0.9523810  2.411091 0.117050 0.49382716
377    0.090  0.7500000  1.898734 0.042600 0.21176471
378    0.080  0.6666667  1.687764 0.032600 0.18390805
379    0.120  1.0000000  2.531646 0.072600 0.30379747
380    0.090  0.7500000  1.851852 0.041400 0.20689655
381    0.090  0.7200000  3.000000 0.060000 0.32727273
382    0.090  0.7500000  1.851852 0.041400 0.20689655
383    0.120  1.0000000  2.469136 0.071400 0.29629630
384    0.085  0.7083333  1.416667 0.025000 0.15887850
385    0.085  0.7083333  1.666667 0.034000 0.18478261
386    0.130  0.9629630  2.751323 0.082750 0.36619718
387    0.130  0.8965517  2.846196 0.084325 0.39393939
388    0.125  0.9259259  2.608242 0.077075 0.34246575
389    0.125  0.8928571  2.834467 0.080900 0.37878788
390    0.115  0.8518519  2.333841 0.065725 0.29870130
391    0.115  0.9200000  2.920635 0.075625 0.35384615
392    0.105  0.7777778  1.830065 0.047625 0.23076923
393    0.105  0.9545455  3.030303 0.070350 0.32812500
394    0.085  0.6538462  2.075702 0.044050 0.23611111
395    0.125  0.8620690  2.428363 0.073525 0.33333333
396    0.125  0.8928571  2.551020 0.076000 0.34246575
397    0.115  0.7931034  2.172886 0.062075 0.29113924
398    0.115  0.9200000  2.628571 0.071250 0.31944444
399    0.110  0.7586207  1.784990 0.048375 0.23913043
400    0.110  1.0000000  2.857143 0.071500 0.31428571
401    0.120  0.8571429  2.348337 0.068900 0.31168831
402    0.120  0.9600000  2.704225 0.075625 0.33333333
403    0.110  0.7857143  1.848739 0.050500 0.24175824
404    0.110  1.0000000  2.816901 0.070950 0.30985915
405    0.100  0.8000000  1.882353 0.046875 0.22222222
406    0.100  0.9090909  2.490660 0.059850 0.26666667
407    0.075  0.8333333  2.283105 0.042150 0.19736842
408    0.075  0.7500000  2.173913 0.040500 0.20270270
409    0.075  0.8333333  2.222222 0.041250 0.19230769
410    0.070  0.7777778  1.969058 0.034450 0.16867470
411    0.070  0.7368421  2.135774 0.037225 0.18918919
412    0.085  0.9444444  2.331962 0.048550 0.20731707
413    0.085  0.6538462  1.895206 0.040150 0.21794872
414    0.080  0.8000000  2.133333 0.042500 0.20253165
415    0.090  0.9000000  2.278481 0.050500 0.22222222
416    0.090  0.9473684  2.595530 0.055325 0.24324324
417    0.095  0.9500000  2.345679 0.054500 0.23170732
418    0.095  0.7307692  2.002107 0.047550 0.23750000
419    0.075  0.7894737  2.105263 0.039375 0.18987342
420    0.105  0.8076923  2.153846 0.056250 0.26250000
421    0.115  0.8846154  2.358974 0.066250 0.29487179
422    0.115  0.7666667  2.948718 0.076000 0.38983051
423    0.095  1.0000000  2.469136 0.056525 0.23456790
424    0.095  0.7307692  1.850049 0.043650 0.22093023
