     support confidence      lift      leverage    jaccard
189    0.100  0.8695652  7.905138  8.735000e-02 0.80000000
190    0.060  0.6000000  1.200000  1.000000e-02 0.11111111
191    0.060  1.0000000  8.695652  5.310000e-02 0.52173913
192    0.060  0.8571429  7.792208  5.230000e-02 0.50000000
193    0.100  1.0000000  8.000000  8.750000e-02 0.80000000
194    0.100  0.9090909  7.905138  8.735000e-02 0.80000000
195    0.100  0.9523810  8.658009  8.845000e-02 0.86956522
196    0.100  1.0000000  7.142857  8.600000e-02 0.71428571
197    0.100  0.9090909  7.905138  8.735000e-02 0.80000000
198    0.100  0.8695652  7.905138  8.735000e-02 0.80000000
199    0.100  1.0000000  3.846154  7.400000e-02 0.38461538
200    0.100  0.9090909  7.905138  8.735000e-02 0.80000000
201    0.100  0.8695652  7.905138  8.735000e-02 0.80000000
202    0.060  0.6000000  1.200000  1.000000e-02 0.11111111
203    0.060  1.0000000  8.695652  5.310000e-02 0.52173913
204    0.060  0.9230769  8.391608  5.285000e-02 0.52173913
205    0.110  1.0000000  7.142857  9.460000e-02 0.78571429
206    0.110  1.0000000  8.000000  9.625000e-02 0.88000000
207    0.110  0.9166667  8.333333  9.680000e-02 0.91666667
208    0.110  1.0000000  3.846154  8.140000e-02 0.42307692
209    0.110  1.0000000  8.000000  9.625000e-02 0.88000000
210    0.110  0.8800000  8.000000  9.625000e-02 0.88000000
211    0.060  0.5454545  1.090909  5.000000e-03 0.10909091
212    0.060  1.0000000  8.000000  5.250000e-02 0.48000000
213    0.060  0.8571429  7.792208  5.230000e-02 0.50000000
214    0.050  1.0000000  8.000000  4.375000e-02 0.40000000
215    0.050  0.9090909  8.264463  4.395000e-02 0.43478261
216    0.110  1.0000000  3.846154  8.140000e-02 0.42307692
217    0.110  1.0000000  7.142857  9.460000e-02 0.78571429
218    0.110  0.7857143  7.142857  9.460000e-02 0.78571429
219    0.060  0.5454545  1.090909  5.000000e-03 0.10909091
220    0.060  1.0000000  7.142857  5.160000e-02 0.42857143
221    0.060  0.9230769  8.391608  5.285000e-02 0.52173913
222    0.050  1.0000000  7.142857  4.300000e-02 0.35714286
223    0.050  0.6666667  6.060606  4.175000e-02 0.37037037
224    0.060  0.5454545  1.090909  5.000000e-03 0.10909091
225    0.060  1.0000000  3.846154  4.440000e-02 0.23076923
226    0.050  1.0000000  3.846154  3.700000e-02 0.19230769
227    0.105  0.9545455  7.636364  9.125000e-02 0.80769231
228    0.105  0.9545455  8.300395  9.235000e-02 0.87500000
229    0.105  1.0000000  8.695652  9.292500e-02 0.91304348
230    0.110  1.0000000  7.142857  9.460000e-02 0.78571429
231    0.110  1.0000000  8.695652  9.735000e-02 0.95652174
232    0.110  0.9565217  8.317580  9.677500e-02 0.91666667
233    0.110  1.0000000  3.846154  8.140000e-02 0.42307692
234    0.110  0.9565217  8.317580  9.677500e-02 0.91666667
235    0.110  0.9565217  8.317580  9.677500e-02 0.91666667
236    0.065  0.5909091  1.181818  1.000000e-02 0.11926606
237    0.065  0.9285714  8.074534  5.695000e-02 0.54166667
238    0.065  1.0000000  8.695652  5.752500e-02 0.56521739
239    0.105  0.9545455  6.818182  8.960000e-02 0.72413793
240    0.105  0.9545455  7.636364  9.125000e-02 0.80769231
241    0.105  0.8750000  7.608696  9.120000e-02 0.80769231
242    0.110  1.0000000  3.846154  8.140000e-02 0.42307692
243    0.110  0.9565217  7.652174  9.562500e-02 0.84615385
244    0.110  0.8800000  7.652174  9.562500e-02 0.84615385
245    0.070  0.6363636  1.272727  1.500000e-02 0.12962963
246    0.070  1.0000000  8.000000  6.125000e-02 0.56000000
247    0.070  1.0000000  8.695652  6.195000e-02 0.60869565
248    0.110  1.0000000  3.846154  8.140000e-02 0.42307692
249    0.110  0.9565217  6.832298  9.390000e-02 0.75862069
250    0.110  0.7857143  6.832298  9.390000e-02 0.75862069
251    0.065  0.5909091  1.181818  1.000000e-02 0.11926606
252    0.065  0.9285714  6.632653  5.520000e-02 0.44827586
253    0.065  1.0000000  8.695652  5.752500e-02 0.56521739
254    0.070  0.6086957  1.217391  1.250000e-02 0.12844037
255    0.070  1.0000000  3.846154  5.180000e-02 0.26923077
256    0.070  0.5384615  4.682274  5.505000e-02 0.40000000
257    0.105  1.0000000  7.142857  9.030000e-02 0.75000000
258    0.105  0.9130435  7.304348  9.062500e-02 0.77777778
259    0.105  0.8750000  7.608696  9.120000e-02 0.80769231
260    0.105  1.0000000  3.846154  7.770000e-02 0.40384615
261    0.105  0.9130435  7.304348  9.062500e-02 0.77777778
262    0.105  0.8400000  7.304348  9.062500e-02 0.77777778
263    0.065  0.6190476  1.238095  1.250000e-02 0.12037037
264    0.065  1.0000000  8.000000  5.687500e-02 0.52000000
265    0.065  0.9285714  8.074534  5.695000e-02 0.54166667
266    0.115  1.0000000  3.846154  8.510000e-02 0.44230769
267    0.115  1.0000000  7.142857  9.890000e-02 0.82142857
268    0.115  0.8214286  7.142857  9.890000e-02 0.82142857
269    0.065  0.5652174  1.130435  7.500000e-03 0.11818182
270    0.065  1.0000000  7.142857  5.590000e-02 0.46428571
271    0.065  1.0000000  8.695652  5.752500e-02 0.56521739
272    0.050  1.0000000  7.142857  4.300000e-02 0.35714286
273    0.050  0.6666667  5.797101  4.137500e-02 0.35714286
274    0.065  0.5652174  1.130435  7.500000e-03 0.11818182
275    0.065  1.0000000  3.846154  4.810000e-02 0.25000000
276    0.065  0.5000000  4.347826  5.005000e-02 0.36111111
277    0.050  1.0000000  3.846154  3.700000e-02 0.19230769
278    0.120  1.0000000  3.846154  8.880000e-02 0.46153846
279    0.120  0.9600000  6.857143  1.025000e-01 0.82758621
280    0.120  0.8571429  6.857143  1.025000e-01 0.82758621
281    0.065  0.5416667  1.083333  5.000000e-03 0.11711712
282    0.065  0.9285714  6.632653  5.520000e-02 0.44827586
283    0.065  1.0000000  8.000000  5.687500e-02 0.52000000
284    0.055  1.0000000  7.142857  4.730000e-02 0.39285714
285    0.055  0.7333333  5.866667  4.562500e-02 0.37931034
286    0.070  0.5600000  1.120000  7.500000e-03 0.12612613
287    0.070  1.0000000  3.846154  5.180000e-02 0.26923077
288    0.070  0.5384615  4.307692  5.375000e-02 0.37837838
289    0.055  1.0000000  3.846154  4.070000e-02 0.21153846
290    0.120  0.9600000  5.647059  9.875000e-02 0.68571429
291    0.120  0.9600000  5.818182  9.937500e-02 0.70588235
292    0.120  0.7741935  5.955335  9.985000e-02 0.72727273
293    0.125  1.0000000  5.714286  1.031250e-01 0.71428571
294    0.125  0.9615385  5.827506  1.035500e-01 0.73529412
295    0.125  0.8064516  6.203474  1.048500e-01 0.78125000
296    0.125  1.0000000  3.846154  9.250000e-02 0.48076923
297    0.125  0.9615385  5.827506  1.035500e-01 0.73529412
298    0.125  0.8064516  6.203474  1.048500e-01 0.78125000
299    0.075  0.6000000  1.600000  2.812500e-02 0.17647059
300    0.075  0.9375000  5.681818  6.180000e-02 0.44117647
301    0.075  0.6818182  5.244755  6.070000e-02 0.45454545
