     support confidence      lift leverage   jaccard
305    0.110  0.9166667  2.320675 0.062600 0.2716049
306    0.120  1.0000000  2.469136 0.071400 0.2962963
307    0.200  1.0000000  2.469136 0.119000 0.4938272
308    0.200  0.9523810  2.411091 0.117050 0.4938272
309    0.120  1.0000000  2.531646 0.072600 0.3037975
310    0.120  1.0000000  2.469136 0.071400 0.2962963
311    0.130  0.9629630  2.751323 0.082750 0.3661972
312    0.130  0.8965517  2.846196 0.084325 0.3939394
313    0.125  0.9259259  2.608242 0.077075 0.3424658
314    0.125  0.8928571  2.834467 0.080900 0.3787879
315    0.115  0.8518519  2.333841 0.065725 0.2987013
316    0.115  0.9200000  2.920635 0.075625 0.3538462
317    0.105  0.9545455  3.030303 0.070350 0.3281250
318    0.125  0.8620690  2.428363 0.073525 0.3333333
319    0.125  0.8928571  2.551020 0.076000 0.3424658
320    0.115  0.9200000  2.628571 0.071250 0.3194444
321    0.110  1.0000000  2.857143 0.071500 0.3142857
322    0.120  0.8571429  2.348337 0.068900 0.3116883
323    0.120  0.9600000  2.704225 0.075625 0.3333333
324    0.110  1.0000000  2.816901 0.070950 0.3098592
325    0.100  0.8000000  1.882353 0.046875 0.2222222
326    0.100  0.9090909  2.490660 0.059850 0.2666667
327    0.075  0.8333333  2.283105 0.042150 0.1973684
328    0.075  0.8333333  2.222222 0.041250 0.1923077
329    0.085  0.9444444  2.331962 0.048550 0.2073171
330    0.080  0.8000000  2.133333 0.042500 0.2025316
331    0.090  0.9000000  2.278481 0.050500 0.2222222
332    0.090  0.9473684  2.595530 0.055325 0.2432432
333    0.095  0.9500000  2.345679 0.054500 0.2317073
334    0.105  0.8076923  2.153846 0.056250 0.2625000
335    0.115  0.8846154  2.358974 0.066250 0.2948718
336    0.095  1.0000000  2.469136 0.056525 0.2345679
337    0.285  0.9193548  2.589732 0.174950 0.7500000
338    0.285  0.9827586  2.807882 0.183500 0.8028169
339    0.285  0.9661017  3.066990 0.192075 0.8769231
340    0.280  0.9032258  2.474591 0.166850 0.7088608
341    0.280  0.9824561  2.807018 0.180250 0.7887324
342    0.280  0.9491525  3.013183 0.187075 0.8484848
343    0.275  0.8870968  2.087287 0.143250 0.5978261
344    0.275  1.0000000  2.857143 0.178750 0.7857143
345    0.275  0.9166667  2.910053 0.180500 0.8088235
346    0.150  1.0000000  2.857143 0.097500 0.4285714
347    0.150  0.8823529  2.801120 0.096450 0.4477612
348    0.160  0.9696970  2.770563 0.102250 0.4507042
349    0.160  0.8888889  2.821869 0.103300 0.4776119
350    0.270  0.9310345  2.550779 0.164150 0.7012987
351    0.270  0.9473684  2.668643 0.168825 0.7297297
352    0.270  0.8571429  2.721088 0.170775 0.7500000
353    0.270  0.9310345  2.190669 0.146750 0.6067416
354    0.270  0.9818182  2.765685 0.172375 0.7500000
355    0.270  0.8852459  2.810304 0.173925 0.7714286
356    0.140  0.9333333  2.629108 0.086750 0.3835616
357    0.140  0.8000000  2.539683 0.084875 0.4000000
358    0.150  0.9090909  2.560819 0.091425 0.4054054
359    0.150  0.8333333  2.645503 0.093300 0.4347826
360    0.260  0.9122807  2.146543 0.138875 0.5777778
361    0.260  0.9454545  2.590286 0.159625 0.6842105
362    0.260  0.8524590  2.706219 0.163925 0.7222222
363    0.145  0.9666667  2.648402 0.090250 0.3918919
364    0.140  0.8484848  2.324616 0.079775 0.3589744
365    0.140  0.9333333  2.196078 0.076250 0.3218391
366    0.140  0.9032258  2.867384 0.091175 0.4242424
367    0.135  0.8181818  1.925134 0.064875 0.2967033
368    0.200  0.8888889  2.435312 0.117875 0.5128205
369    0.200  0.8333333  2.415459 0.117200 0.5194805
370    0.300  0.9836066  2.490143 0.179525 0.7500000
371    0.300  0.9677419  2.651348 0.186850 0.8000000
372    0.300  0.8823529  2.557545 0.182700 0.7792208
373    0.285  0.9344262  2.307225 0.161475 0.6705882
374    0.285  0.9344262  2.560072 0.173675 0.7402597
375    0.285  0.9047619  2.622498 0.176325 0.7600000
376    0.100  0.8695652  2.382370 0.058025 0.2631579
377    0.100  0.8333333  2.415459 0.058600 0.2739726
378    0.150  0.8571429  2.348337 0.086125 0.3846154
379    0.150  0.8108108  2.350176 0.086175 0.3947368
380    0.155  0.9117647  2.497985 0.092950 0.4078947
381    0.155  0.8611111  2.495974 0.092900 0.4189189
382    0.205  0.9111111  2.306610 0.116125 0.4939759
383    0.205  0.8367347  2.425318 0.120475 0.5324675
384    0.215  0.9555556  2.359396 0.123875 0.5180723
385    0.165  0.9428571  2.514286 0.099375 0.4285714
386    0.290  0.9354839  2.309837 0.164450 0.6823529
387    0.290  0.9508197  2.407138 0.169525 0.7073171
388    0.290  0.8055556  2.334944 0.165800 0.6987952
389    0.100  0.8695652  2.201431 0.054575 0.2439024
390    0.160  0.9142857  2.314647 0.090875 0.3902439
391    0.160  0.8000000  2.318841 0.091000 0.4155844
392    0.150  0.8823529  2.233805 0.082850 0.3614458
393    0.165  0.9428571  2.328042 0.094125 0.3975904
394    0.140  0.8235294  2.033406 0.071150 0.3218391
395    0.110  0.9565217  1.913043 0.052500 0.2178218
396    0.270  0.9152542  2.507546 0.162325 0.6923077
397    0.270  0.9152542  2.578181 0.165275 0.7105263
398    0.270  0.8571429  2.448980 0.159750 0.6835443
399    0.280  0.9491525  2.233300 0.154625 0.6363636
400    0.280  0.9333333  2.629108 0.173500 0.7466667
401    0.280  0.9180328  2.622951 0.173250 0.7466667
402    0.145  0.8529412  2.402651 0.084650 0.3815789
403    0.145  0.8285714  2.367347 0.083750 0.3815789
404    0.150  0.8333333  2.347418 0.086100 0.3896104
405    0.150  0.8333333  2.380952 0.087000 0.3947368
406    0.265  0.8983051  2.113659 0.139625 0.5824176
407    0.265  0.8833333  2.420091 0.155500 0.6625000
408    0.265  0.8688525  2.482436 0.158250 0.6794872
409    0.155  0.9117647  2.497985 0.092950 0.4078947
410    0.155  0.8378378  2.393822 0.090250 0.4078947
411    0.145  0.8529412  2.006920 0.072750 0.3222222
412    0.145  0.9354839  2.672811 0.090750 0.4027778
413    0.155  0.8611111  2.026144 0.078500 0.3444444
414    0.285  0.9047619  2.128852 0.151125 0.6263736
415    0.285  0.9344262  2.560072 0.173675 0.7402597
416    0.285  0.9344262  2.632187 0.176725 0.7600000
417    0.150  0.8571429  2.348337 0.086125 0.3846154
418    0.150  0.8108108  2.283974 0.084325 0.3846154
419    0.165  0.9166667  2.511416 0.099300 0.4342105
420    0.165  0.9166667  2.582160 0.101100 0.4459459
421    0.150  0.8571429  2.016807 0.075625 0.3333333
