    support confidence     lift leverage   jaccard
240   0.065  1.0000000 4.000000 0.048750 0.2600000
241   0.065  1.0000000 4.081633 0.049075 0.2653061
242   0.105  1.0000000 4.000000 0.078750 0.4200000
243   0.105  1.0000000 4.081633 0.079275 0.4285714
244   0.105  1.0000000 4.081633 0.079275 0.4285714
245   0.065  1.0000000 4.000000 0.048750 0.2600000
246   0.065  1.0000000 4.000000 0.048750 0.2600000
247   0.090  1.0000000 4.081633 0.067950 0.3673469
248   0.060  1.0000000 2.000000 0.030000 0.1200000
249   0.060  1.0000000 4.081633 0.045300 0.2448980
250   0.070  1.0000000 3.921569 0.052150 0.2745098
251   0.070  1.0000000 4.000000 0.052500 0.2800000
252   0.075  1.0000000 2.000000 0.037500 0.1500000
253   0.075  1.0000000 3.921569 0.055875 0.2941176
254   0.075  1.0000000 4.000000 0.056250 0.3000000
255   0.070  1.0000000 2.000000 0.035000 0.1400000
256   0.070  1.0000000 2.000000 0.035000 0.1400000
257   0.110  1.0000000 4.000000 0.082500 0.4400000
258   0.110  0.9565217 3.904170 0.081825 0.4400000
259   0.090  1.0000000 4.000000 0.067500 0.3600000
260   0.090  1.0000000 4.081633 0.067950 0.3673469
261   0.130  0.9629630 3.851852 0.096250 0.5098039
262   0.075  1.0000000 4.081633 0.056625 0.3061224
263   0.100  0.9523810 3.809524 0.073750 0.3921569
264   0.100  1.0000000 4.081633 0.075500 0.4081633
265   0.075  1.0000000 4.000000 0.056250 0.3000000
266   0.080  1.0000000 4.081633 0.060400 0.3265306
267   0.090  1.0000000 4.000000 0.067500 0.3600000
268   0.065  1.0000000 4.081633 0.049075 0.2653061
269   0.050  1.0000000 4.081633 0.037750 0.2040816
270   0.065  1.0000000 4.081633 0.049075 0.2653061
271   0.080  1.0000000 4.081633 0.060400 0.3265306
272   0.050  1.0000000 4.081633 0.037750 0.2040816
273   0.050  1.0000000 2.000000 0.025000 0.1000000
274   0.050  1.0000000 4.081633 0.037750 0.2040816
275   0.065  1.0000000 4.000000 0.048750 0.2600000
276   0.065  1.0000000 4.000000 0.048750 0.2600000
277   0.060  1.0000000 4.000000 0.045000 0.2400000
278   0.070  1.0000000 2.000000 0.035000 0.1400000
279   0.135  0.9642857 3.781513 0.099300 0.5192308
280   0.135  1.0000000 4.000000 0.101250 0.5400000
281   0.080  1.0000000 3.921569 0.059600 0.3137255
282   0.080  1.0000000 4.000000 0.060000 0.3200000
283   0.085  1.0000000 4.000000 0.063750 0.3400000
284   0.070  1.0000000 3.921569 0.052150 0.2745098
285   0.070  1.0000000 4.000000 0.052500 0.2800000
286   0.080  1.0000000 4.000000 0.060000 0.3200000
287   0.080  1.0000000 2.000000 0.040000 0.1600000
288   0.060  1.0000000 4.000000 0.045000 0.2400000
289   0.060  1.0000000 3.921569 0.044700 0.2352941
290   0.065  1.0000000 2.000000 0.032500 0.1300000
291   0.055  1.0000000 4.000000 0.041250 0.2200000
292   0.075  1.0000000 2.000000 0.037500 0.1500000
293   0.060  1.0000000 2.000000 0.030000 0.1200000
294   0.075  1.0000000 4.000000 0.056250 0.3000000
295   0.080  1.0000000 2.000000 0.040000 0.1600000
296   0.080  1.0000000 2.000000 0.040000 0.1600000
297   0.080  1.0000000 4.000000 0.060000 0.3200000
298   0.060  1.0000000 4.000000 0.045000 0.2400000
299   0.065  1.0000000 4.000000 0.048750 0.2600000
300   0.080  1.0000000 2.000000 0.040000 0.1600000
301   0.080  1.0000000 4.000000 0.060000 0.3200000
302   0.055  1.0000000 4.000000 0.041250 0.2200000
303   0.065  1.0000000 2.000000 0.032500 0.1300000
304   0.070  1.0000000 2.000000 0.035000 0.1400000
305   0.070  1.0000000 4.000000 0.052500 0.2800000
306   0.115  1.0000000 3.921569 0.085675 0.4509804
307   0.115  0.9583333 3.833333 0.085000 0.4509804
308   0.075  1.0000000 4.000000 0.056250 0.3000000
309   0.110  1.0000000 3.921569 0.081950 0.4313725
310   0.110  0.9565217 3.826087 0.081250 0.4313725
311   0.095  0.9500000 3.725490 0.069500 0.3653846
312   0.095  0.9500000 3.800000 0.070000 0.3725490
313   0.050  1.0000000 3.921569 0.037250 0.1960784
314   0.055  1.0000000 3.921569 0.040975 0.2156863
315   0.060  1.0000000 2.000000 0.030000 0.1200000
316   0.065  1.0000000 2.000000 0.032500 0.1300000
317   0.055  1.0000000 2.000000 0.027500 0.1100000
318   0.205  1.0000000 3.921569 0.152725 0.8039216
319   0.205  0.9534884 3.739170 0.150175 0.7735849
320   0.205  0.9761905 3.904762 0.152500 0.8039216
321   0.165  1.0000000 3.921569 0.122925 0.6470588
322   0.165  1.0000000 4.000000 0.123750 0.6600000
323   0.185  0.9736842 3.818369 0.136550 0.7115385
324   0.185  0.9736842 3.894737 0.137500 0.7254902
325   0.115  0.9583333 3.758170 0.084400 0.4423077
326   0.115  1.0000000 4.000000 0.086250 0.4600000
327   0.165  1.0000000 3.921569 0.122925 0.6470588
328   0.190  1.0000000 3.921569 0.141550 0.7450980
329   0.190  0.9743590 3.821016 0.140275 0.7307692
330   0.095  1.0000000 3.921569 0.070775 0.3725490
331   0.095  0.9500000 3.725490 0.069500 0.3653846
332   0.120  1.0000000 3.921569 0.089400 0.4705882
333   0.120  1.0000000 4.000000 0.090000 0.4800000
334   0.165  1.0000000 3.773585 0.121275 0.6226415
335   0.080  1.0000000 4.000000 0.060000 0.3200000
336   0.095  1.0000000 3.773585 0.069825 0.3584906
337   0.095  1.0000000 3.921569 0.070775 0.3725490
338   0.095  1.0000000 4.000000 0.071250 0.3800000
339   0.180  1.0000000 3.921569 0.134100 0.7058824
340   0.180  1.0000000 4.000000 0.135000 0.7200000
341   0.190  0.9500000 3.725490 0.139000 0.7169811
342   0.190  0.9743590 3.821016 0.140275 0.7307692
343   0.190  0.9743590 3.897436 0.141250 0.7450980
344   0.095  0.9500000 3.725490 0.069500 0.3653846
345   0.095  0.9500000 3.800000 0.070000 0.3725490
346   0.130  0.9629630 3.776325 0.095575 0.5000000
347   0.130  0.9629630 3.776325 0.095575 0.5000000
348   0.130  1.0000000 4.000000 0.097500 0.5200000
349   0.180  1.0000000 3.921569 0.134100 0.7058824
