     support confidence     lift leverage   jaccard
164    0.100  0.9090909 3.496503 0.071400 0.3703704
165    0.110  1.0000000 3.773585 0.080850 0.4150943
166    0.095  1.0000000 4.000000 0.071250 0.3800000
167    0.120  0.9230769 3.619910 0.086850 0.4528302
168    0.210  1.0000000 3.921569 0.156450 0.8235294
169    0.210  0.9130435 3.580563 0.151350 0.7636364
170    0.210  0.9130435 3.580563 0.151350 0.7636364
171    0.165  0.9428571 3.697479 0.120375 0.6226415
172    0.190  0.9047619 3.414196 0.134350 0.6666667
173    0.175  1.0000000 3.921569 0.130375 0.6862745
174    0.175  0.9210526 3.611971 0.126550 0.6481481
175    0.205  0.9534884 3.739170 0.150175 0.7735849
176    0.205  0.9761905 3.828198 0.151450 0.7884615
177    0.110  0.9565217 3.751066 0.080675 0.4230769
178    0.120  0.9230769 3.619910 0.086850 0.4528302
179    0.175  1.0000000 3.773585 0.128625 0.6603774
180    0.120  0.9600000 3.622642 0.086875 0.4444444
181    0.095  1.0000000 3.921569 0.070775 0.3725490
182    0.180  0.9000000 3.529412 0.129000 0.6545455
183    0.180  0.9473684 3.715170 0.131550 0.6792453
184    0.195  0.9069767 3.556772 0.140175 0.7090909
185    0.195  0.9285714 3.641457 0.141450 0.7222222
186    0.130  0.9629630 3.776325 0.095575 0.5000000
187    0.130  0.9285714 3.641457 0.094300 0.4905660
188    0.185  0.9250000 3.490566 0.132000 0.6607143
189    0.185  0.9024390 3.538977 0.132725 0.6727273
190    0.120  1.0000000 3.773585 0.088200 0.4528302
191    0.095  1.0000000 3.921569 0.070775 0.3725490
192    0.180  0.9473684 3.574975 0.129650 0.6545455
193    0.115  1.0000000 3.773585 0.084525 0.4339623
194    0.095  1.0000000 3.921569 0.070775 0.3725490
195    0.125  0.9615385 3.628447 0.090550 0.4629630
196    0.135  1.0000000 4.081633 0.101925 0.5510204
197    0.135  0.9642857 4.017857 0.101400 0.5510204
198    0.130  0.9629630 3.851852 0.096250 0.5098039
199    0.130  1.0000000 4.166667 0.098800 0.5416667
200    0.135  1.0000000 4.000000 0.101250 0.5400000
201    0.135  0.9642857 4.017857 0.101400 0.5510204
202    0.065  1.0000000 4.166667 0.049400 0.2708333
203    0.065  1.0000000 4.166667 0.049400 0.2708333
204    0.070  1.0000000 4.081633 0.052850 0.2857143
205    0.160  0.9411765 3.764706 0.117500 0.6153846
206    0.160  1.0000000 4.081633 0.120800 0.6530612
207    0.160  1.0000000 4.166667 0.121600 0.6666667
208    0.170  1.0000000 4.000000 0.127500 0.6800000
209    0.170  1.0000000 4.081633 0.128350 0.6938776
210    0.100  1.0000000 4.081633 0.075500 0.4081633
211    0.070  1.0000000 4.081633 0.052850 0.2857143
212    0.070  0.9333333 3.888889 0.052000 0.2857143
213    0.160  1.0000000 4.000000 0.120000 0.6400000
214    0.160  0.9411765 3.764706 0.117500 0.6153846
215    0.160  1.0000000 4.166667 0.121600 0.6666667
216    0.095  0.9500000 3.800000 0.070000 0.3725490
217    0.095  1.0000000 4.166667 0.072200 0.3958333
218    0.065  0.9285714 3.714286 0.047500 0.2549020
219    0.065  1.0000000 4.166667 0.049400 0.2708333
220    0.100  1.0000000 4.000000 0.075000 0.4000000
221    0.070  1.0000000 4.000000 0.052500 0.2800000
222    0.070  0.9333333 3.888889 0.052000 0.2857143
223    0.050  1.0000000 4.000000 0.037500 0.2000000
224    0.050  0.9090909 3.710575 0.036525 0.2000000
225    0.050  1.0000000 2.000000 0.025000 0.1000000
226    0.050  0.9090909 3.636364 0.036250 0.1960784
227    0.050  1.0000000 4.166667 0.038000 0.2083333
228    0.060  1.0000000 2.000000 0.030000 0.1200000
229    0.060  1.0000000 4.166667 0.045600 0.2500000
230    0.055  1.0000000 2.000000 0.027500 0.1100000
231    0.155  0.9393939 3.757576 0.113750 0.5961538
232    0.155  1.0000000 4.081633 0.117025 0.6326531
233    0.155  1.0000000 4.166667 0.117800 0.6458333
234    0.165  1.0000000 4.000000 0.123750 0.6600000
235    0.165  1.0000000 4.081633 0.124575 0.6734694
236    0.165  0.9705882 4.044118 0.124200 0.6734694
237    0.065  1.0000000 4.081633 0.049075 0.2653061
238    0.065  1.0000000 4.166667 0.049400 0.2708333
239    0.100  1.0000000 4.081633 0.075500 0.4081633
240    0.100  1.0000000 4.081633 0.075500 0.4081633
241    0.100  0.9523810 3.968254 0.074800 0.4081633
242    0.155  1.0000000 4.000000 0.116250 0.6200000
243    0.155  0.9393939 3.757576 0.113750 0.5961538
244    0.155  1.0000000 4.166667 0.117800 0.6458333
245    0.065  1.0000000 4.000000 0.048750 0.2600000
246    0.065  1.0000000 4.166667 0.049400 0.2708333
247    0.090  0.9000000 3.600000 0.065000 0.3461538
248    0.090  1.0000000 4.081633 0.067950 0.3673469
249    0.065  1.0000000 4.000000 0.048750 0.2600000
250    0.065  1.0000000 4.166667 0.049400 0.2708333
251    0.100  1.0000000 4.000000 0.075000 0.4000000
252    0.100  1.0000000 4.081633 0.075500 0.4081633
253    0.100  0.9523810 3.968254 0.074800 0.4081633
254    0.200  1.0000000 4.000000 0.150000 0.8000000
255    0.200  0.9302326 3.720930 0.146250 0.7547170
256    0.200  0.9756098 3.982081 0.149775 0.8000000
257    0.200  1.0000000 4.166667 0.152000 0.8333333
258    0.110  0.9565217 3.826087 0.081250 0.4313725
259    0.110  1.0000000 4.166667 0.083600 0.4583333
260    0.090  0.9000000 3.600000 0.065000 0.3461538
261    0.090  1.0000000 4.081633 0.067950 0.3673469
262    0.090  1.0000000 4.166667 0.068400 0.3750000
263    0.115  1.0000000 4.000000 0.086250 0.4600000
264    0.115  0.9583333 3.911565 0.085600 0.4600000
265    0.100  1.0000000 4.000000 0.075000 0.4000000
266    0.100  1.0000000 4.081633 0.075500 0.4081633
267    0.100  0.9523810 3.968254 0.074800 0.4081633
268    0.115  0.9200000 3.680000 0.083750 0.4423077
269    0.115  0.9583333 3.833333 0.085000 0.4509804
270    0.115  1.0000000 4.166667 0.087400 0.4791667
271    0.090  1.0000000 4.000000 0.067500 0.3600000
272    0.090  0.9000000 3.600000 0.065000 0.3461538
273    0.090  1.0000000 4.166667 0.068400 0.3750000
274    0.050  1.0000000 4.000000 0.037500 0.2000000
275    0.050  1.0000000 4.081633 0.037750 0.2040816
276    0.050  1.0000000 2.000000 0.025000 0.1000000
277    0.050  1.0000000 4.081633 0.037750 0.2040816
278    0.050  1.0000000 2.000000 0.025000 0.1000000
279    0.050  1.0000000 4.000000 0.037500 0.2000000
280    0.130  0.9285714 3.714286 0.095000 0.5000000
281    0.130  1.0000000 4.081633 0.098150 0.5306122
282    0.140  1.0000000 4.000000 0.105000 0.5600000
283    0.140  1.0000000 4.081633 0.105700 0.5714286
284    0.065  1.0000000 4.081633 0.049075 0.2653061
285    0.065  1.0000000 4.166667 0.049400 0.2708333
286    0.075  1.0000000 4.081633 0.056625 0.3061224
287    0.130  1.0000000 4.000000 0.097500 0.5200000
288    0.130  0.9285714 3.714286 0.095000 0.5000000
289    0.065  1.0000000 4.000000 0.048750 0.2600000
290    0.065  1.0000000 4.166667 0.049400 0.2708333
291    0.065  1.0000000 4.081633 0.049075 0.2653061
292    0.065  1.0000000 4.000000 0.048750 0.2600000
293    0.065  1.0000000 4.166667 0.049400 0.2708333
294    0.075  1.0000000 4.081633 0.056625 0.3061224
295    0.160  1.0000000 4.000000 0.120000 0.6400000
296    0.160  1.0000000 4.081633 0.120800 0.6530612
297    0.095  1.0000000 4.081633 0.071725 0.3877551
298    0.065  1.0000000 4.081633 0.049075 0.2653061
299    0.115  1.0000000 4.000000 0.086250 0.4600000
300    0.115  1.0000000 4.081633 0.086825 0.4693878
301    0.075  1.0000000 4.000000 0.056250 0.3000000
302    0.075  1.0000000 4.081633 0.056625 0.3061224
303    0.095  1.0000000 4.000000 0.071250 0.3800000
304    0.065  1.0000000 4.000000 0.048750 0.2600000
305    0.075  1.0000000 2.000000 0.037500 0.1500000
306    0.075  1.0000000 4.000000 0.056250 0.3000000
307    0.075  0.9375000 3.826531 0.055400 0.3000000
308    0.055  1.0000000 4.000000 0.041250 0.2200000
309    0.055  0.9166667 3.741497 0.040300 0.2200000
310    0.055  1.0000000 2.000000 0.027500 0.1100000
311    0.065  1.0000000 2.000000 0.032500 0.1300000
312    0.065  1.0000000 4.000000 0.048750 0.2600000
313    0.050  1.0000000 2.000000 0.025000 0.1000000
314    0.050  1.0000000 3.921569 0.037250 0.1960784
315    0.050  1.0000000 4.000000 0.037500 0.2000000
316    0.055  1.0000000 3.921569 0.040975 0.2156863
317    0.055  0.9166667 3.666667 0.040000 0.2156863
318    0.055  1.0000000 3.921569 0.040975 0.2156863
319    0.060  1.0000000 2.000000 0.030000 0.1200000
320    0.085  1.0000000 4.000000 0.063750 0.3400000
321    0.085  0.9444444 3.854875 0.062950 0.3400000
322    0.080  1.0000000 4.000000 0.060000 0.3200000
323    0.080  0.9411765 3.841537 0.059175 0.3200000
324    0.075  1.0000000 4.081633 0.056625 0.3061224
325    0.070  1.0000000 2.000000 0.035000 0.1400000
326    0.070  1.0000000 4.081633 0.052850 0.2857143
327    0.060  0.9230769 3.846154 0.044400 0.2448980
328    0.050  1.0000000 3.921569 0.037250 0.1960784
329    0.050  0.9090909 3.565062 0.035975 0.1923077
330    0.050  0.9090909 3.636364 0.036250 0.1960784
331    0.155  1.0000000 4.000000 0.116250 0.6200000
332    0.155  0.9117647 3.647059 0.112500 0.5849057
333    0.155  1.0000000 4.081633 0.117025 0.6326531
334    0.065  1.0000000 4.000000 0.048750 0.2600000
335    0.065  1.0000000 4.081633 0.049075 0.2653061
336    0.090  1.0000000 4.081633 0.067950 0.3673469
337    0.065  1.0000000 4.000000 0.048750 0.2600000
338    0.065  1.0000000 4.081633 0.049075 0.2653061
339    0.105  1.0000000 4.000000 0.078750 0.4200000
340    0.105  1.0000000 4.081633 0.079275 0.4285714
341    0.105  1.0000000 4.081633 0.079275 0.4285714
342    0.065  1.0000000 4.000000 0.048750 0.2600000
343    0.065  1.0000000 4.000000 0.048750 0.2600000
344    0.090  1.0000000 4.081633 0.067950 0.3673469
345    0.060  1.0000000 2.000000 0.030000 0.1200000
346    0.060  0.9230769 3.692308 0.043750 0.2352941
347    0.060  1.0000000 4.081633 0.045300 0.2448980
348    0.070  0.9333333 3.660131 0.050875 0.2692308
349    0.070  1.0000000 3.921569 0.052150 0.2745098
350    0.070  1.0000000 4.000000 0.052500 0.2800000
351    0.075  1.0000000 2.000000 0.037500 0.1500000
352    0.075  1.0000000 3.921569 0.055875 0.2941176
353    0.075  1.0000000 4.000000 0.056250 0.3000000
354    0.070  1.0000000 2.000000 0.035000 0.1400000
355    0.070  0.9333333 3.660131 0.050875 0.2692308
356    0.070  0.9333333 3.733333 0.051250 0.2745098
357    0.070  1.0000000 2.000000 0.035000 0.1400000
358    0.070  0.9333333 3.660131 0.050875 0.2692308
359    0.070  0.9333333 3.660131 0.050875 0.2692308
360    0.110  1.0000000 4.000000 0.082500 0.4400000
361    0.110  0.9565217 3.904170 0.081825 0.4400000
362    0.090  1.0000000 4.000000 0.067500 0.3600000
363    0.090  1.0000000 4.081633 0.067950 0.3673469
364    0.080  0.9411765 3.841537 0.059175 0.3200000
365    0.130  0.9629630 3.851852 0.096250 0.5098039
366    0.075  1.0000000 4.081633 0.056625 0.3061224
367    0.100  0.9523810 3.809524 0.073750 0.3921569
368    0.100  1.0000000 4.081633 0.075500 0.4081633
369    0.090  0.9473684 3.789474 0.066250 0.3529412
370    0.090  0.9000000 3.673469 0.065500 0.3529412
371    0.075  1.0000000 4.000000 0.056250 0.3000000
372    0.080  0.9411765 3.764706 0.058750 0.3137255
373    0.080  1.0000000 4.081633 0.060400 0.3265306
374    0.070  0.9333333 3.733333 0.051250 0.2745098
375    0.090  1.0000000 4.000000 0.067500 0.3600000
376    0.090  0.9473684 3.866810 0.066725 0.3600000
377    0.065  1.0000000 4.081633 0.049075 0.2653061
378    0.050  0.9090909 3.636364 0.036250 0.1960784
379    0.050  1.0000000 4.081633 0.037750 0.2040816
380    0.075  0.9375000 3.826531 0.055400 0.3000000
381    0.065  1.0000000 4.081633 0.049075 0.2653061
382    0.080  1.0000000 4.081633 0.060400 0.3265306
383    0.050  1.0000000 4.081633 0.037750 0.2040816
384    0.050  1.0000000 2.000000 0.025000 0.1000000
385    0.050  1.0000000 4.081633 0.037750 0.2040816
386    0.065  0.9285714 3.641457 0.047150 0.2500000
387    0.065  1.0000000 4.000000 0.048750 0.2600000
388    0.065  0.9285714 3.641457 0.047150 0.2500000
389    0.065  1.0000000 4.000000 0.048750 0.2600000
390    0.060  1.0000000 4.000000 0.045000 0.2400000
391    0.070  1.0000000 2.000000 0.035000 0.1400000
392    0.135  0.9642857 3.781513 0.099300 0.5192308
393    0.135  1.0000000 4.000000 0.101250 0.5400000
394    0.080  1.0000000 3.921569 0.059600 0.3137255
395    0.080  1.0000000 4.000000 0.060000 0.3200000
396    0.085  0.9444444 3.703704 0.062050 0.3269231
397    0.085  1.0000000 4.000000 0.063750 0.3400000
398    0.070  1.0000000 3.921569 0.052150 0.2745098
399    0.070  1.0000000 4.000000 0.052500 0.2800000
400    0.080  1.0000000 4.000000 0.060000 0.3200000
401    0.080  1.0000000 2.000000 0.040000 0.1600000
402    0.060  0.9230769 3.619910 0.043425 0.2307692
403    0.060  1.0000000 4.000000 0.045000 0.2400000
404    0.060  0.9230769 3.550296 0.043100 0.2264151
405    0.060  1.0000000 3.921569 0.044700 0.2352941
406    0.060  0.9230769 3.692308 0.043750 0.2352941
407    0.065  1.0000000 2.000000 0.032500 0.1300000
408    0.055  0.9166667 3.594771 0.039700 0.2115385
