    support confidence     lift leverage    jaccard
259   0.070          1 1.886792 0.032900 0.13207547
260   0.070          1 1.886792 0.032900 0.13207547
261   0.065          1 1.886792 0.030550 0.12264151
262   0.070          1 1.801802 0.031150 0.12612613
263   0.070          1 1.886792 0.032900 0.13207547
264   0.065          1 1.886792 0.030550 0.12264151
265   0.065          1 1.801802 0.028925 0.11711712
266   0.085          1 1.886792 0.039950 0.16037736
267   0.085          1 1.960784 0.041650 0.16666667
268   0.090          1 1.886792 0.042300 0.16981132
269   0.090          1 1.960784 0.044100 0.17647059
270   0.105          1 1.960784 0.051450 0.20588235
271   0.085          1 1.801802 0.037825 0.15315315
272   0.085          1 1.960784 0.041650 0.16666667
273   0.080          1 1.960784 0.039200 0.15686275
274   0.085          1 1.801802 0.037825 0.15315315
275   0.085          1 1.886792 0.039950 0.16037736
276   0.080          1 1.886792 0.037600 0.15094340
277   0.080          1 1.801802 0.035600 0.14414414
278   0.180          1 1.960784 0.088200 0.35294118
279   0.160          1 1.801802 0.071200 0.28828829
280   0.250          1 1.886792 0.117500 0.47169811
281   0.235          1 1.886792 0.110450 0.44339623
282   0.125          1 3.571429 0.090000 0.44642857
283   0.125          1 3.846154 0.092500 0.48076923
284   0.125          1 4.081633 0.094375 0.51020408
285   0.130          1 3.571429 0.093600 0.46428571
286   0.130          1 3.846154 0.096200 0.50000000
287   0.130          1 4.081633 0.098150 0.53061224
288   0.105          1 3.571429 0.075600 0.37500000
289   0.105          1 3.846154 0.077700 0.40384615
290   0.105          1 4.081633 0.079275 0.42857143
291   0.105          1 6.451613 0.088725 0.67741935
292   0.120          1 3.846154 0.088800 0.46153846
293   0.120          1 4.081633 0.090600 0.48979592
294   0.095          1 3.846154 0.070300 0.36538462
295   0.095          1 4.081633 0.071725 0.38775510
296   0.095          1 6.451613 0.080275 0.61290323
297   0.100          1 3.846154 0.074000 0.38461538
298   0.100          1 4.081633 0.075500 0.40816327
299   0.100          1 6.451613 0.084500 0.64516129
300   0.120          1 3.571429 0.086400 0.42857143
301   0.120          1 4.081633 0.090600 0.48979592
302   0.095          1 3.571429 0.068400 0.33928571
303   0.095          1 4.081633 0.071725 0.38775510
304   0.095          1 6.451613 0.080275 0.61290323
305   0.100          1 3.571429 0.072000 0.35714286
306   0.100          1 4.081633 0.075500 0.40816327
307   0.100          1 6.451613 0.084500 0.64516129
308   0.090          1 4.081633 0.067950 0.36734694
309   0.090          1 6.451613 0.076050 0.58064516
310   0.120          1 3.571429 0.086400 0.42857143
311   0.120          1 3.846154 0.088800 0.46153846
312   0.095          1 3.571429 0.068400 0.33928571
313   0.095          1 3.846154 0.070300 0.36538462
314   0.100          1 3.571429 0.072000 0.35714286
315   0.100          1 3.846154 0.074000 0.38461538
316   0.100          1 6.451613 0.084500 0.64516129
317   0.090          1 3.846154 0.066600 0.34615385
318   0.090          1 6.451613 0.076050 0.58064516
319   0.090          1 3.571429 0.064800 0.32142857
320   0.090          1 6.451613 0.076050 0.58064516
321   0.160          1 4.347826 0.123200 0.69565217
322   0.160          1 5.000000 0.128000 0.80000000
323   0.160          1 5.263158 0.129600 0.84210526
324   0.160          1 4.347826 0.123200 0.69565217
325   0.160          1 5.000000 0.128000 0.80000000
326   0.160          1 5.263158 0.129600 0.84210526
327   0.070          1 4.347826 0.053900 0.30434783
328   0.070          1 5.000000 0.056000 0.35000000
329   0.070          1 5.263158 0.056700 0.36842105
330   0.100          1 4.347826 0.077000 0.43478261
331   0.100          1 5.000000 0.080000 0.50000000
332   0.100          1 5.263158 0.081000 0.52631579
333   0.155          1 5.000000 0.124000 0.77500000
334   0.155          1 5.263158 0.125550 0.81578947
335   0.070          1 3.773585 0.051450 0.26415094
336   0.070          1 5.000000 0.056000 0.35000000
337   0.070          1 5.263158 0.056700 0.36842105
338   0.090          1 5.000000 0.072000 0.45000000
339   0.090          1 5.263158 0.072900 0.47368421
340   0.070          1 2.941176 0.046200 0.20588235
341   0.070          1 5.000000 0.056000 0.35000000
342   0.070          1 5.263158 0.056700 0.36842105
343   0.090          1 5.000000 0.072000 0.45000000
344   0.090          1 5.263158 0.072900 0.47368421
345   0.155          1 4.347826 0.119350 0.67391304
346   0.070          1 3.773585 0.051450 0.26415094
347   0.070          1 4.347826 0.053900 0.30434783
348   0.090          1 4.347826 0.069300 0.39130435
349   0.090          1 5.263158 0.072900 0.47368421
350   0.070          1 2.941176 0.046200 0.20588235
351   0.070          1 4.347826 0.053900 0.30434783
352   0.090          1 4.347826 0.069300 0.39130435
353   0.070          1 2.941176 0.046200 0.20588235
354   0.070          1 3.773585 0.051450 0.26415094
355   0.085          1 5.263158 0.068850 0.44736842
356   0.155          1 4.347826 0.119350 0.67391304
357   0.070          1 3.773585 0.051450 0.26415094
358   0.070          1 4.347826 0.053900 0.30434783
359   0.090          1 4.347826 0.069300 0.39130435
360   0.090          1 5.000000 0.072000 0.45000000
361   0.070          1 2.941176 0.046200 0.20588235
362   0.070          1 4.347826 0.053900 0.30434783
363   0.090          1 4.347826 0.069300 0.39130435
364   0.070          1 2.941176 0.046200 0.20588235
365   0.070          1 3.773585 0.051450 0.26415094
366   0.085          1 5.000000 0.068000 0.42500000
367   0.075          1 2.941176 0.049500 0.22058824
368   0.075          1 3.773585 0.055125 0.28301887
369   0.085          1 4.347826 0.065450 0.36956522
370   0.170          1 4.347826 0.130900 0.73913043
371   0.170          1 5.000000 0.136000 0.85000000
372   0.170          1 5.263158 0.137700 0.89473684
373   0.080          1 3.773585 0.058800 0.30188679
374   0.080          1 4.347826 0.061600 0.34782609
375   0.080          1 5.000000 0.064000 0.40000000
376   0.080          1 5.263158 0.064800 0.42105263
377   0.095          1 4.347826 0.073150 0.41304348
378   0.095          1 5.000000 0.076000 0.47500000
379   0.095          1 5.263158 0.076950 0.50000000
380   0.080          1 2.941176 0.052800 0.23529412
381   0.080          1 4.347826 0.061600 0.34782609
382   0.080          1 5.000000 0.064000 0.40000000
383   0.080          1 5.263158 0.064800 0.42105263
384   0.095          1 5.000000 0.076000 0.47500000
385   0.095          1 5.263158 0.076950 0.50000000
386   0.080          1 2.941176 0.052800 0.23529412
387   0.080          1 3.773585 0.058800 0.30188679
388   0.080          1 5.000000 0.064000 0.40000000
389   0.090          1 5.000000 0.072000 0.45000000
390   0.090          1 5.263158 0.072900 0.47368421
